datetime,count
2011-01-20 00:00:00,11.67
2011-01-20 01:00:00,6.09
2011-01-20 02:00:00,4.71
2011-01-20 03:00:00,3.3
2011-01-20 04:00:00,3.01
2011-01-20 05:00:00,7.81
2011-01-20 06:00:00,37.74
2011-01-20 07:00:00,104.79
2011-01-20 08:00:00,239.15
2011-01-20 09:00:00,137.47
2011-01-20 10:00:00,64.53
2011-01-20 11:00:00,63.8
2011-01-20 12:00:00,77.69
2011-01-20 13:00:00,75.63
2011-01-20 14:00:00,83.82
2011-01-20 15:00:00,87.31
2011-01-20 16:00:00,97.55
2011-01-20 17:00:00,207.64
2011-01-20 18:00:00,179.71
2011-01-20 19:00:00,101.57
2011-01-20 20:00:00,71.15
2011-01-20 21:00:00,50.92
2011-01-20 22:00:00,46.45
2011-01-20 23:00:00,27.44
2011-01-21 00:00:00,18.29
2011-01-21 01:00:00,8.31
2011-01-21 02:00:00,4.944
2011-01-21 03:00:00,2.11
2011-01-21 04:00:00,2.08
2011-01-21 05:00:00,3.43
2011-01-21 06:00:00,34.65
2011-01-21 07:00:00,101.12
2011-01-21 08:00:00,209.0
2011-01-21 09:00:00,132.44
2011-01-21 10:00:00,51.33
2011-01-21 11:00:00,65.82
2011-01-21 12:00:00,72.33
2011-01-21 13:00:00,67.19
2011-01-21 14:00:00,63.97
2011-01-21 15:00:00,61.95
2011-01-21 16:00:00,81.9
2011-01-21 17:00:00,152.48
2011-01-21 18:00:00,153.06
2011-01-21 19:00:00,106.06
2011-01-21 20:00:00,72.12
2011-01-21 21:00:00,48.53
2011-01-21 22:00:00,33.36
2011-01-21 23:00:00,20.75
2011-01-22 00:00:00,25.02
2011-01-22 01:00:00,17.07
2011-01-22 02:00:00,14.7
2011-01-22 03:00:00,7.1
2011-01-22 04:00:00,3.5
2011-01-22 06:00:00,5.29
2011-01-22 07:00:00,15.21
2011-01-22 08:00:00,22.34
2011-01-22 09:00:00,33.70166666666667
2011-01-22 10:00:00,57.24
2011-01-22 11:00:00,60.06
2011-01-22 12:00:00,72.31
2011-01-22 13:00:00,76.41
2011-01-22 14:00:00,71.73
2011-01-22 15:00:00,71.77
2011-01-22 16:00:00,70.77
2011-01-22 17:00:00,78.65
2011-01-22 18:00:00,59.09
2011-01-22 19:00:00,41.38
